대여수,대여시간_합,이동거리_합,이동거리_평균,이동거리_최솟값,이동거리_중앙값,이동거리_최댓값
368.0,895113.0,796550.0,2164.538043478261,10.0,1850.0,5520.0
204.0,289099.0,331310.0,1624.0686274509803,10.0,1210.0,5520.0
408.0,662735.0,677510.0,1660.563725490196,10.0,1320.0,5590.0
1275.0,2621700.0,2518610.0,1975.3803921568629,10.0,1610.0,5630.0
1997.0,4083014.0,3850550.0,1928.1672508763145,10.0,1500.0,5630.0
1961.0,3676748.0,3764170.0,1919.515553289138,10.0,1500.0,5570.0
2134.0,5197275.0,4565280.0,2139.3064667291474,10.0,1870.0,5610.0
1766.0,4143717.0,3831600.0,2169.6489241223103,10.0,1870.0,5630.0
1080.0,2230612.0,2122360.0,1965.148148148148,10.0,1585.0,5630.0
1791.0,3381276.0,3485660.0,1946.2088218872138,10.0,1550.0,5630.0
924.0,1682182.0,1704320.0,1844.5021645021645,10.0,1450.0,5560.0
107.0,163157.0,192610.0,1800.0934579439252,30.0,1400.0,5490.0
715.0,1245309.0,1277810.0,1787.1468531468531,10.0,1460.0,5620.0
834.0,1825286.0,1652380.0,1981.2709832134292,10.0,1630.0,5620.0
1485.0,3534891.0,3157260.0,2126.10101010101,10.0,1780.0,5630.0
929.0,1517750.0,1648230.0,1774.1980624327234,10.0,1390.0,5610.0
828.0,1317926.0,1470630.0,1776.123188405797,10.0,1325.0,5590.0
463.0,762675.0,837690.0,1809.2656587473002,10.0,1470.0,5590.0
706.0,1349735.0,1257640.0,1781.359773371105,10.0,1430.0,5620.0
881.0,1439932.0,1445100.0,1640.295119182747,10.0,1280.0,5580.0
655.0,1377865.0,1236770.0,1888.1984732824428,10.0,1510.0,5530.0
1243.0,2792838.0,2489290.0,2002.6468222043443,10.0,1610.0,5630.0
842.0,1274372.0,1399860.0,1662.541567695962,10.0,1240.0,5630.0
836.0,1343239.0,1384660.0,1656.2918660287082,10.0,1230.0,5610.0
941.0,1663501.0,1640780.0,1743.6556854410203,10.0,1320.0,5520.0
770.0,1334913.0,1371180.0,1780.7532467532467,10.0,1400.0,5500.0
231.0,288605.0,348280.0,1507.7056277056276,10.0,1130.0,5590.0
192.0,352573.0,345320.0,1798.5416666666667,10.0,1440.0,5360.0
973.0,2225954.0,1912890.0,1965.9712230215828,10.0,1590.0,5630.0
330.0,442764.0,481670.0,1459.6060606060605,10.0,1090.0,5620.0
476.0,787765.0,797270.0,1674.936974789916,10.0,1220.0,5600.0
788.0,1355888.0,1347020.0,1709.4162436548224,10.0,1305.0,5590.0
