출구본부명,출구지사명,출구영업소코드,출구영업소명,처리일자,처리일시분초,TCS차종구분코드,TCS차종구분명,근무일자,근무번호,확인순번,TCS본부명,지사명,영업소코드,영업소명,발급일시,발급시분초
전북본부,무주,114,남대전,20210606,183935,1,1종,20210606,3502,208,대전충남본부,대전,113,신탄진,20210606,182000
전북본부,무주,114,남대전,20210606,222158,1,1종,20210606,3503,7,대전충남본부,대전,115,대전,20210606,220900
전북본부,무주,114,남대전,20210606,223913,3,3종,20210606,3503,13,대전충남본부,대전,113,신탄진,20210606,221200
전북본부,무주,114,남대전,20210606,225144,6,6종,20210606,3503,19,대전충남본부,대전,152,유성,20210606,223000
전북본부,무주,114,남대전,20210606,231546,3,3종,20210606,3503,25,대전충남본부,대전,113,신탄진,20210606,225100
전북본부,무주,114,남대전,20210606,231607,1,1종,20210606,3503,26,대전충남본부,대전,152,유성,20210606,225100
대전충남본부,대전,115,대전,20210606,72144,1,1종,20210606,3301,11,대전충남본부,대전,112,남청주,20210606,70700
대전충남본부,대전,115,대전,20210606,72358,1,1종,20210606,3301,12,대전충남본부,대전,113,신탄진,20210606,70000
대전충남본부,대전,115,대전,20210606,73914,1,1종,20210606,3301,15,대전충남본부,대전,112,남청주,20210606,22900
대전충남본부,대전,115,대전,20210606,80130,1,1종,20210606,3301,22,대전충남본부,대전,112,남청주,20210606,74100
대전충남본부,대전,115,대전,20210606,82105,6,6종,20210606,3301,26,대전충남본부,대전,112,남청주,20210606,80500
대전충남본부,대전,115,대전,20210606,92437,1,1종,20210606,3301,54,대전충남본부,대전,112,남청주,20210606,91000
대전충남본부,대전,115,대전,20210606,93002,1,1종,20210606,3301,59,대전충남본부,대전,115,대전,20210606,92800
대전충남본부,대전,115,대전,20210606,101541,6,6종,20210606,3301,98,대전충남본부,대전,113,신탄진,20210606,100700
대전충남본부,대전,115,대전,20210606,102539,1,1종,20210606,3301,107,대전충남본부,대전,113,신탄진,20210606,101800
수도권서부고속도로,수원광명고속도로,693,남군포,20210606,171816,1,1종,20210606,1103,160,대전충남본부,대전,113,신탄진,20210606,160000
수도권서부고속도로,수원광명고속도로,693,남군포,20210606,111408,1,1종,20210606,1202,129,대전충남본부,대전,113,신탄진,20210606,95100
