번호,대여소명,거치대_수,구,주소,위도,경도,구역,인터넷,CCTV,거치대_종류,구조
240,서부경찰서,14,서구,복수동 292-14,36.3084,127.374,4구역,무선,\N,평면,일자형
241,사정동 웰빙24시 사우나,14,중구,사정동 401,36.2966,127.385,4구역,무선,\N,평면,일자형
242,서대전역,12,중구,오류동 170-1,36.3223,127.405,4구역,무선,\N,평면,일자형
243,솔브릿지 국제대학,14,동구,삼성동 151-13,36.3392,127.433,5구역,무선,\N,평면,일자형
244,우송대 서문(건너편),13,동구,가양동 307-3,36.339,127.445,6구역,무선,\N,평면,일자형
245,천동초등학교,13,동구,천동 199-64,36.3167,127.444,5구역,무선,\N,평면,일자형
246,용방마을아파트(301동),14,동구,용운동 460,36.3272,127.452,6구역,무선,\N,평면,일자형
247,목동 한사랑아파트(109동),12,중구,목동 112-12,36.3332,127.412,5구역,무선,\N,평면,일자형
248,옥계동 새마을금고,12,중구,옥계동 46-15,36.299,127.454,5구역,무선,\N,평면,일자형
249,관저 금성백조(114동),13,서구,관저동 1574,36.2957,127.335,3구역,무선,\N,평면,일자형
250,노은3지구 영무예다음(102동),13,유성구,지족동 1052,36.3746,127.305,7구역,무선,\N,평면,일자형
251,관저 더샵(109동),13,서구,관저동 1985,36.2935,127.329,3구역,무선,\N,평면,일자형
252,대전정부청사 남문,15,서구,둔산동 1517,36.3597,127.385,1구역,무선,\N,평면,일자형
253,가수원파출소(건너편),15,서구,가수원동 1373,36.3087,127.351,3구역,무선,\N,평면,십일자
254,대전과학기술대학교 정문,15,서구,복수동 257-5,36.3046,127.375,4구역,무선,\N,평면,일자형
255,용운국제수영장,15,동구,용운동 301-12,36.3247,127.465,5구역,무선,\N,평면,일자형
256,신성동 수천이들 근린공원,15,유성구,신성동 494,36.3937,127.353,7구역,무선,\N,평면,일자형
257,대전테크노파크,15,유성구,용산동 605,36.4209,127.405,7구역,무선,\N,평면,일자형
258,천문대입구,12,유성구,신성동 458,36.3828,127.355,7구역,무선,\N,평면,일자형
259,대덕대학교,14,유성구,장동 48,36.3905,127.362,7구역,무선,\N,평면,일자형
260,오정농수산물 도매시장,15,대덕구,오정동 45-1,36.3577,127.408,1구역,무선,\N,평면,일자형
261,도로교통공단(건너편 라도무스),15,유성구,원신흥동 608,36.3327,127.333,3구역,무선,\N,평면,일자형
